id;bank;value;due_date;status;server;duration;size;description;region;error_code;queue
CA-2016-152156;Bradesco;4840;01-04-18;OK;fnt002-sp01;10;281;Bookcases;SP;0;0
CA-2016-152156;Bradesco;433;01-04-18;OK;fnt002-sp02;2;29;Chairs;SP;0;3
CA-2016-138688;Bradesco;5054;01-04-18;OK;fnt002-sp03;7;320;Labels;SP;0;0
US-2015-108966;Bradesco;5205;01-04-18;OK;fnt002-sp04;16;278;Tables;SP;0;0
US-2015-108966;Banco do Brasil;2960;01-04-18;OK;fnt002-sp05;11;198;Storage;SP;0;3
CA-2014-115812;Bradesco;1009;02-04-18;NOK;fnt002-sp06;9;30;Furnishings;SP;404;4
CA-2014-115812;Banco do Brasil;3586;02-04-18;NOK;fnt002-sp06;2;276;Furnishings;SP;404;3
CA-2016-121755;Santander;3312;01-04-18;OK;fnt002-sp01;5;271;Furnishings;SP;0;0
US-2015-150630;Bradesco;4407;01-04-18;OK;fnt002-sp01;5;148;Art;SP;0;0
US-2015-150630;Bradesco;938;01-04-18;OK;fnt002-sp01;9;248;Phones;SP;0;1
US-2015-150630;Bradesco;345;01-04-18;OK;fnt002-sp01;14;290;Binders;SP;0;1
US-2015-150630;Bradesco;2849;01-04-18;OK;fnt002-sp01;16;86;Appliances;SP;0;3
US-2015-150630;Banco do Brasil;2361;02-04-18;NOK;fnt002-sp01;8;312;Tables;SP;404;0
US-2015-150630;Bradesco;3969;02-04-18;NOK;fnt002-sp01;12;172;Phones;SP;404;0
US-2015-150630;Banco do Brasil;378;01-04-18;OK;fnt002-sp01;13;248;Paper;SP;0;3
CA-2017-107727;Santander;4190;01-04-18;OK;fnt002-sp01;16;138;Binders;SP;0;3
CA-2016-117590;Bradesco;1475;01-04-18;OK;fnt002-sp01;7;57;Appliances;SP;0;3
CA-2016-117590;Bradesco;210;01-04-18;NOK;fnt002-sp01;9;201;Binders;SP;404;4
CA-2015-117415;Bradesco;5132;01-04-18;NOK;fnt002-sp01;8;152;Storage;SP;404;3
CA-2015-117415;Bradesco;2981;02-04-18;OK;fnt002-sp01;8;176;Storage;SP;0;4
CA-2015-117415;Banco do Brasil;1746;02-04-18;OK;fnt002-sp01;6;182;Art;SP;0;0
CA-2015-117415;Bradesco;1497;01-04-18;OK;fnt002-sp01;17;61;Phones;RJ;0;2
CA-2017-120999;Banco do Brasil;1093;01-04-18;OK;fnt002-sp02;9;318;Binders;RJ;0;3
CA-2016-101343;Santander;2368;01-04-18;OK;fnt002-sp03;6;154;Art;RJ;0;4
CA-2016-117590;Banco do Brasil;2669;01-04-18;OK;fnt002-sp04;7;38;Appliances;RJ;0;0
CA-2015-117415;Bradesco;2790;01-04-18;NOK;fnt002-sp05;17;29;Chairs;RJ;404;0
CA-2015-117415;Banco do Brasil;412;02-04-18;NOK;fnt002-sp06;4;241;Tables;RJ;404;2
CA-2015-117415;Santander;3039;02-04-18;OK;fnt002-sp06;15;285;Binders;RJ;0;4
CA-2015-117415;Bradesco;189;01-04-18;OK;fnt002-sp01;17;79;Accessories;MG;0;1
CA-2016-152156;Bradesco;5491;01-04-18;OK;fnt002-sp01;20;191;Bookcases;MG;0;1
CA-2016-152156;Bradesco;3147;01-04-18;OK;fnt002-sp01;14;215;Binders;MG;0;3
CA-2016-138688;Bradesco;4726;01-04-18;OK;fnt002-sp01;5;166;Bookcases;ES;0;2
US-2015-108966;Banco do Brasil;1699;01-04-18;OK;fnt002-sp01;9;318;Chairs;SP;0;1
US-2015-108966;Bradesco;458;02-04-18;OK;fnt002-sp01;8;305;Labels;SP;0;2
CA-2014-115812;Bradesco;3120;02-04-18;OK;fnt002-sp01;18;312;Tables;SP;0;2
